race_id,race_name,chaos_band,axis_horse,axis_signal,axis_ev,good_partners,good_ana,grade,grade_comment,wide_bets,umaren_bets,trifuku_bets
20260405_HANSHIN_01,未勝利・牝,やや荒れ,マリブサーフ,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_HANSHIN_02,未勝利,やや荒れ,タイセイサーブル,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_HANSHIN_03,未勝利,やや荒れ,キャッチアシーフ,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_HANSHIN_04,未勝利,やや荒れ,デルマフジ,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_HANSHIN_05,１勝ｸﾗｽ*,やや荒れ,シルバーレシオ,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_HANSHIN_06,１勝ｸﾗｽ,中間,エボルヴィング,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_HANSHIN_07,２勝ｸﾗｽ,やや荒れ,マテンロウブレイブ,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_HANSHIN_08,２勝ｸﾗｽ,やや荒れ,ジーティーマン,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_HANSHIN_09,バイオレ,やや荒れ,マジッククッキー,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_HANSHIN_10,心斎橋Ｈ･3勝,やや荒れ,スライビングロード,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_HANSHIN_11,大阪杯G1,やや荒れ,クロワデュノール,軸,0.6685,メイショウタバル,メイショウタバル,少額,軸妙味は薄いが相手妙味あり,クロワデュノール-メイショウタバル,,
20260405_HANSHIN_12,天満橋Ｓ･3勝,やや荒れ,ニューオーリンズ,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_NAKAYAMA_01,未勝利・牝,やや荒れ,ギンケイ,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_NAKAYAMA_02,未勝利,やや荒れ,ラインジーク,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_NAKAYAMA_03,未勝利,中間,ミスターキャンベラ,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_NAKAYAMA_04,障害未勝利,中間,シャンデルナゴル,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_NAKAYAMA_05,未勝利,やや荒れ,エリュグレイス,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_NAKAYAMA_06,１勝ｸﾗｽ*,やや荒れ,アレンスター,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_NAKAYAMA_07,１勝ｸﾗｽ*,やや荒れ,ニルマーネル,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_NAKAYAMA_08,１勝ｸﾗｽ,やや荒れ,リッキースタイル,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_NAKAYAMA_09,安房特別･2勝,中間,オストラヴァ,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_NAKAYAMA_10,アリエＨ･3勝,やや荒れ,デルアヴァー,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_NAKAYAMA_11,美浦Ｓ･3勝,やや荒れ,ヤマニンアドホック,軸,,,,オッズ待ち,手動オッズ未入力,,,
20260405_NAKAYAMA_12,２勝ｸﾗｽ,やや荒れ,プリムツァール,軸,,,,オッズ待ち,手動オッズ未入力,,,
